customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,num_support_tickets,late_payments,satisfaction_score,churn
CUST-00001,Male,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,517.99,3,0,4.7,No
CUST-00002,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),50.05,1443.2,1,0,4.1,No
CUST-00003,Female,0,No,No,72,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,84.18,5953.58,6,1,4.9,No
CUST-00004,Male,0,Yes,No,53,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,60.36,2949.55,0,1,4.6,No
CUST-00005,Male,0,Yes,No,62,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.92,5573.46,4,0,4.4,No
CUST-00006,Female,0,No,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.41,1874.09,0,2,4.8,No
CUST-00007,Male,0,Yes,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,33.52,1084.47,0,0,5.0,No
CUST-00008,Female,0,No,No,57,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,83.82,5042.25,7,2,3.6,No
CUST-00009,Male,0,No,No,47,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),43.93,2001.55,1,0,4.9,No
CUST-00010,Male,0,Yes,No,54,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,76.75,3938.83,2,2,4.6,No
CUST-00011,Female,0,Yes,Yes,22,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,95.67,2243.53,1,3,4.2,No
CUST-00012,Female,1,No,No,17,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,119.5,2099.29,5,4,3.4,Yes
CUST-00013,Female,0,No,No,13,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),77.42,932.45,3,4,3.6,Yes
CUST-00014,Female,0,Yes,No,21,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),87.97,1947.95,4,0,4.7,No
CUST-00015,Female,0,No,No,71,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),63.83,4801.31,1,0,5.0,No
CUST-00016,Female,0,No,No,68,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,78.94,4999.44,0,0,5.0,No
CUST-00017,Female,1,No,No,11,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.35,523.27,3,1,4.7,Yes
CUST-00018,Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),96.87,4180.53,5,2,3.6,Yes
CUST-00019,Female,0,No,Yes,68,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),117.59,7965.2,1,2,5.0,No
CUST-00020,Male,0,No,No,55,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),107.18,5656.45,1,1,4.0,No
CUST-00021,Female,0,Yes,No,45,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.38,3328.25,2,0,4.8,No
CUST-00022,Male,0,No,No,44,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),118.71,4817.31,4,1,4.2,Yes
CUST-00023,Male,0,No,No,24,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),94.58,2189.3,3,1,4.9,Yes
CUST-00024,Female,0,No,No,67,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),79.02,5361.74,2,0,4.8,No
